Episode: 0, Total Reward: -102.97931212360847, Steps: 106
 Episode: 1, Total Reward: -103.30078571400726, Steps: 181
 Episode: 2, Total Reward: -98.47578003723919, Steps: 57
 Episode: 3, Total Reward: -6.534216729471534, Steps: 1600
 Episode: 4, Total Reward: -7.079470584515974, Steps: 1600
 Episode: 5, Total Reward: -95.03490837651981, Steps: 101
 Episode: 6, Total Reward: -94.14107517374012, Steps: 117
 Episode: 7, Total Reward: -8.473884820451644, Steps: 1600
 Episode: 8, Total Reward: -96.93475777776516, Steps: 275
 Episode: 9, Total Reward: -12.20576739647884, Steps: 1600
 Episode: 10, Total Reward: -110.71932319572173, Steps: 86
 Episode: 11, Total Reward: -93.92901881099426, Steps: 102
 Episode: 12, Total Reward: -95.6096395409888, Steps: 93
 Episode: 13, Total Reward: -10.023329379870768, Steps: 1600
 Episode: 14, Total Reward: -94.82702676400751, Steps: 145
 Episode: 15, Total Reward: -96.88581932634833, Steps: 93
 Episode: 16, Total Reward: -98.48016759709486, Steps: 80
 Episode: 17, Total Reward: -98.55665717894212, Steps: 93
 Episode: 18, Total Reward: -99.6057220135162, Steps: 114
 Episode: 19, Total Reward: -99.57213963401146, Steps: 114
 Episode: 20, Total Reward: -100.18390388884039, Steps: 130
 Episode: 21, Total Reward: -117.21033267844732, Steps: 109
 Episode: 22, Total Reward: -114.89542942242709, Steps: 90
 Episode: 23, Total Reward: -112.60496594777277, Steps: 116
 Episode: 24, Total Reward: -10.429569539153091, Steps: 1600
 Episode: 25, Total Reward: -93.32930645342296, Steps: 94
 Episode: 26, Total Reward: -117.36711508562469, Steps: 91
 Episode: 27, Total Reward: -93.09772018145743, Steps: 114
 Episode: 28, Total Reward: -94.82582837266521, Steps: 84
 Episode: 29, Total Reward: -98.11474113601385, Steps: 86
 Episode: 30, Total Reward: -100.03058871771714, Steps: 137
 Episode: 31, Total Reward: -10.693923684747078, Steps: 1600
 Episode: 32, Total Reward: -6.745426590754842, Steps: 1600
 Episode: 33, Total Reward: -111.99836092697588, Steps: 159
 Episode: 34, Total Reward: -118.27751603947856, Steps: 125
 Episode: 35, Total Reward: -119.67886593551715, Steps: 193
 Episode: 36, Total Reward: -95.9171894685954, Steps: 107
 Episode: 37, Total Reward: -10.387170920200424, Steps: 1600
 Episode: 38, Total Reward: -4.205996788912959, Steps: 1600
 Episode: 39, Total Reward: -118.14815287555642, Steps: 130
 Episode: 40, Total Reward: -96.25483037094621, Steps: 107
 Episode: 41, Total Reward: -9.73459606933482, Steps: 1600
 Episode: 42, Total Reward: -116.13156983577511, Steps: 113
 Episode: 43, Total Reward: -98.29324797330311, Steps: 113
 Episode: 44, Total Reward: -99.97173726029321, Steps: 85
 Episode: 45, Total Reward: -116.68209675951451, Steps: 74
 Episode: 46, Total Reward: -99.53691595378953, Steps: 194
 Episode: 47, Total Reward: -99.74641251025085, Steps: 76
 Episode: 48, Total Reward: -99.28778691642343, Steps: 102
 Episode: 49, Total Reward: -120.41571214373457, Steps: 109
 Episode: 50, Total Reward: -95.646934387107, Steps: 116
 Episode: 51, Total Reward: -11.694922994536142, Steps: 1600
 Episode: 52, Total Reward: -96.37998481021192, Steps: 125
 Episode: 53, Total Reward: -101.9090969881992, Steps: 123
 Episode: 54, Total Reward: -97.81986562597845, Steps: 92
