Episode: 1, Total Reward: 0.0, Steps: 125, 10-Window_Average: 1.0
 Episode: 2, Total Reward: 0.0, Steps: 124, 10-Window_Average: 1.0
 Episode: 3, Total Reward: 1.0, Steps: 154, 10-Window_Average: 1.0
 Episode: 4, Total Reward: 1.0, Steps: 174, 10-Window_Average: 1.0
 Episode: 5, Total Reward: 1.0, Steps: 152, 10-Window_Average: 1.0
 Episode: 6, Total Reward: 0.0, Steps: 124, 10-Window_Average: 1.0
 Episode: 7, Total Reward: 1.0, Steps: 153, 10-Window_Average: 1.0
 Episode: 8, Total Reward: 2.0, Steps: 182, 10-Window_Average: 1.0
 Episode: 9, Total Reward: 0.0, Steps: 124, 10-Window_Average: 1.0
 Episode: 10, Total Reward: 0.0, Steps: 123, 10-Window_Average: 1.0
 Episode: 11, Total Reward: 0.0, Steps: 124, 10-Window_Average: 0.6
 Episode: 5000, Total Reward: 15.0, Steps: 644, 10-Window_Average: 20.0
 Episode: 5000, Total Reward: 14.0, Steps: 585, 10-Window_Average: 20.0
 Episode: 5001, Total Reward: 26.0, Steps: 543, 10-Window_Average: 20.0
 Episode: 5002, Total Reward: 4.0, Steps: 299, 10-Window_Average: 20.0
 Episode: 5003, Total Reward: 13.0, Steps: 558, 10-Window_Average: 20.0
 Episode: 5004, Total Reward: 22.0, Steps: 668, 10-Window_Average: 20.0
 Episode: 5005, Total Reward: 21.0, Steps: 669, 10-Window_Average: 20.0
 Episode: 5006, Total Reward: 19.0, Steps: 574, 10-Window_Average: 20.0
 Episode: 5007, Total Reward: 16.0, Steps: 741, 10-Window_Average: 20.0
 Episode: 5008, Total Reward: 10.0, Steps: 493, 10-Window_Average: 20.0
 Episode: 5009, Total Reward: 7.0, Steps: 380, 10-Window_Average: 20.0
 Episode: 5010, Total Reward: 10.0, Steps: 454, 10-Window_Average: 20.0
 Episode: 5011, Total Reward: 11.0, Steps: 526, 10-Window_Average: 13.3
 Episode: 5012, Total Reward: 24.0, Steps: 591, 10-Window_Average: 15.3
 Episode: 5013, Total Reward: 4.0, Steps: 257, 10-Window_Average: 14.4
 Episode: 5014, Total Reward: 18.0, Steps: 690, 10-Window_Average: 14.0
 Episode: 5015, Total Reward: 20.0, Steps: 604, 10-Window_Average: 13.9
 Episode: 5016, Total Reward: 34.0, Steps: 1120, 10-Window_Average: 15.4
 Episode: 5017, Total Reward: 29.0, Steps: 741, 10-Window_Average: 16.7
 Episode: 5018, Total Reward: 30.0, Steps: 837, 10-Window_Average: 18.7
 Episode: 5019, Total Reward: 10.0, Steps: 456, 10-Window_Average: 19.0
 Episode: 5020, Total Reward: 24.0, Steps: 669, 10-Window_Average: 20.4
 Episode: 5021, Total Reward: 13.0, Steps: 615, 10-Window_Average: 20.6
 Episode: 5022, Total Reward: 46.0, Steps: 833, 10-Window_Average: 22.8
 Episode: 5023, Total Reward: 14.0, Steps: 561, 10-Window_Average: 23.8
 Episode: 5024, Total Reward: 40.0, Steps: 911, 10-Window_Average: 26.0
 Episode: 5025, Total Reward: 21.0, Steps: 602, 10-Window_Average: 26.1
 Episode: 5026, Total Reward: 14.0, Steps: 472, 10-Window_Average: 24.1
 Episode: 5027, Total Reward: 0.0, Steps: 123, 10-Window_Average: 21.2
 Episode: 5028, Total Reward: 2.0, Steps: 218, 10-Window_Average: 18.4
 Episode: 5029, Total Reward: 1.0, Steps: 153, 10-Window_Average: 17.5
 Episode: 5030, Total Reward: 2.0, Steps: 183, 10-Window_Average: 15.3
 Episode: 5031, Total Reward: 0.0, Steps: 125, 10-Window_Average: 14.0
 Episode: 5032, Total Reward: 2.0, Steps: 201, 10-Window_Average: 9.6
 Episode: 5033, Total Reward: 3.0, Steps: 229, 10-Window_Average: 8.5
 Episode: 5034, Total Reward: 0.0, Steps: 124, 10-Window_Average: 4.5
 Episode: 5035, Total Reward: 3.0, Steps: 248, 10-Window_Average: 2.7
 Episode: 5036, Total Reward: 1.0, Steps: 152, 10-Window_Average: 1.4
 Episode: 5037, Total Reward: 1.0, Steps: 173, 10-Window_Average: 1.5
 Episode: 5038, Total Reward: 3.0, Steps: 214, 10-Window_Average: 1.6
 Episode: 5039, Total Reward: 2.0, Steps: 200, 10-Window_Average: 1.7
 Episode: 5040, Total Reward: 1.0, Steps: 153, 10-Window_Average: 1.6
 Episode: 5041, Total Reward: 1.0, Steps: 171, 10-Window_Average: 1.7
 Episode: 5042, Total Reward: 1.0, Steps: 152, 10-Window_Average: 1.6
 Episode: 5043, Total Reward: 0.0, Steps: 125, 10-Window_Average: 1.3
 Episode: 5044, Total Reward: 1.0, Steps: 170, 10-Window_Average: 1.4
 Episode: 5045, Total Reward: 1.0, Steps: 151, 10-Window_Average: 1.2
 Episode: 5046, Total Reward: 0.0, Steps: 124, 10-Window_Average: 1.1
 Episode: 5047, Total Reward: 1.0, Steps: 170, 10-Window_Average: 1.1
 Episode: 5048, Total Reward: 1.0, Steps: 170, 10-Window_Average: 0.9
 Episode: 5049, Total Reward: 0.0, Steps: 123, 10-Window_Average: 0.7
 Episode: 5050, Total Reward: 2.0, Steps: 204, 10-Window_Average: 0.8
 Episode: 5051, Total Reward: 0.0, Steps: 124, 10-Window_Average: 0.7
 Episode: 5052, Total Reward: 1.0, Steps: 170, 10-Window_Average: 0.7
 Episode: 5053, Total Reward: 3.0, Steps: 209, 10-Window_Average: 1.0
 Episode: 5054, Total Reward: 1.0, Steps: 171, 10-Window_Average: 1.0
 Episode: 5055, Total Reward: 3.0, Steps: 266, 10-Window_Average: 1.2
 Episode: 5056, Total Reward: 0.0, Steps: 123, 10-Window_Average: 1.2
 Episode: 5057, Total Reward: 0.0, Steps: 123, 10-Window_Average: 1.1
 Episode: 5058, Total Reward: 1.0, Steps: 171, 10-Window_Average: 1.1
 Episode: 5059, Total Reward: 3.0, Steps: 247, 10-Window_Average: 1.4
 Episode: 5060, Total Reward: 0.0, Steps: 125, 10-Window_Average: 1.2
 Episode: 5061, Total Reward: 1.0, Steps: 151, 10-Window_Average: 1.3
 Episode: 5062, Total Reward: 1.0, Steps: 152, 10-Window_Average: 1.3
 Episode: 5063, Total Reward: 4.0, Steps: 318, 10-Window_Average: 1.4
 Episode: 5064, Total Reward: 1.0, Steps: 169, 10-Window_Average: 1.4
 Episode: 5065, Total Reward: 0.0, Steps: 125, 10-Window_Average: 1.1
 Episode: 5066, Total Reward: 0.0, Steps: 125, 10-Window_Average: 1.1
 Episode: 5067, Total Reward: 1.0, Steps: 170, 10-Window_Average: 1.2
 Episode: 5068, Total Reward: 2.0, Steps: 224, 10-Window_Average: 1.3
 Episode: 5069, Total Reward: 0.0, Steps: 124, 10-Window_Average: 1.0
 Episode: 5070, Total Reward: 2.0, Steps: 200, 10-Window_Average: 1.2
 Episode: 5071, Total Reward: 1.0, Steps: 151, 10-Window_Average: 1.2
 Episode: 5072, Total Reward: 0.0, Steps: 125, 10-Window_Average: 1.1
 Episode: 5073, Total Reward: 2.0, Steps: 199, 10-Window_Average: 0.9
 Episode: 5074, Total Reward: 1.0, Steps: 152, 10-Window_Average: 0.9
 Episode: 5075, Total Reward: 3.0, Steps: 246, 10-Window_Average: 1.2
 Episode: 5076, Total Reward: 0.0, Steps: 123, 10-Window_Average: 1.2
