Episode: 1, Total Reward: 130.0, Steps: 1081
Episode: 2, Total Reward: 160.0, Steps: 862
Episode: 3, Total Reward: 175.0, Steps: 1162
Episode: 4, Total Reward: 250.0, Steps: 1312
Episode: 5, Total Reward: 160.0, Steps: 959
Episode: 6, Total Reward: 140.0, Steps: 709
Episode: 7, Total Reward: 265.0, Steps: 1206
Episode: 8, Total Reward: 90.0, Steps: 381
Episode: 9, Total Reward: 250.0, Steps: 1058
Episode: 10, Total Reward: 130.0, Steps: 606
Episode: 11, Total Reward: 205.0, Steps: 958
Episode: 12, Total Reward: 60.0, Steps: 373
Episode: 13, Total Reward: 175.0, Steps: 765
Episode: 14, Total Reward: 420.0, Steps: 2064
Episode: 15, Total Reward: 120.0, Steps: 742
Episode: 16, Total Reward: 190.0, Steps: 612
Episode: 17, Total Reward: 355.0, Steps: 1760
Episode: 18, Total Reward: 175.0, Steps: 1045
Episode: 19, Total Reward: 70.0, Steps: 683
Episode: 20, Total Reward: 90.0, Steps: 748
Episode: 21, Total Reward: 250.0, Steps: 1018
Episode: 22, Total Reward: 70.0, Steps: 475
Episode: 23, Total Reward: 130.0, Steps: 1314
Episode: 24, Total Reward: 175.0, Steps: 993
Episode: 25, Total Reward: 460.0, Steps: 2284
Episode: 26, Total Reward: 250.0, Steps: 1838
Episode: 27, Total Reward: 355.0, Steps: 1708
Episode: 28, Total Reward: 110.0, Steps: 580
Episode: 29, Total Reward: 120.0, Steps: 399
Episode: 30, Total Reward: 160.0, Steps: 861
Episode: 31, Total Reward: 190.0, Steps: 1101
Episode: 32, Total Reward: 140.0, Steps: 601
Episode: 33, Total Reward: 190.0, Steps: 1041
Episode: 34, Total Reward: 1100.0, Steps: 2284
Episode: 35, Total Reward: 235.0, Steps: 1485
Episode: 36, Total Reward: 340.0, Steps: 3500
Episode: 37, Total Reward: 90.0, Steps: 814
Episode: 38, Total Reward: 130.0, Steps: 685
Episode: 39, Total Reward: 60.0, Steps: 375
Episode: 40, Total Reward: 310.0, Steps: 2298
Episode: 41, Total Reward: 100.0, Steps: 541
Episode: 42, Total Reward: 10.0, Steps: 201
Episode: 43, Total Reward: 110.0, Steps: 765
Episode: 44, Total Reward: 160.0, Steps: 1025
Episode: 45, Total Reward: 70.0, Steps: 316
Episode: 46, Total Reward: 205.0, Steps: 1276
Episode: 47, Total Reward: 205.0, Steps: 951
Episode: 48, Total Reward: 80.0, Steps: 913
Episode: 49, Total Reward: 175.0, Steps: 1222
Episode: 50, Total Reward: 295.0, Steps: 1383
Episode: 51, Total Reward: 70.0, Steps: 717
Episode: 52, Total Reward: 220.0, Steps: 1066
Episode: 53, Total Reward: 150.0, Steps: 800
Episode: 54, Total Reward: 90.0, Steps: 516
Episode: 55, Total Reward: 50.0, Steps: 288
Episode: 56, Total Reward: 190.0, Steps: 1355
Episode: 57, Total Reward: 205.0, Steps: 1296
Episode: 58, Total Reward: 175.0, Steps: 1263
Episode: 59, Total Reward: 160.0, Steps: 776
Episode: 60, Total Reward: 370.0, Steps: 1651
Episode: 61, Total Reward: 235.0, Steps: 1505
Episode: 62, Total Reward: 80.0, Steps: 634
Episode: 63, Total Reward: 310.0, Steps: 1340
Episode: 64, Total Reward: 110.0, Steps: 676
Episode: 65, Total Reward: 235.0, Steps: 1190
Episode: 66, Total Reward: 40.0, Steps: 616
Episode: 67, Total Reward: 120.0, Steps: 678
Episode: 68, Total Reward: 355.0, Steps: 1406
Episode: 69, Total Reward: 40.0, Steps: 268
Episode: 70, Total Reward: 110.0, Steps: 708
Episode: 71, Total Reward: 50.0, Steps: 384
Episode: 72, Total Reward: 50.0, Steps: 290
Episode: 73, Total Reward: 175.0, Steps: 1035
Episode: 74, Total Reward: 130.0, Steps: 721
Episode: 75, Total Reward: 90.0, Steps: 537
Episode: 76, Total Reward: 140.0, Steps: 931
Episode: 77, Total Reward: 60.0, Steps: 411
Episode: 78, Total Reward: 100.0, Steps: 705
Episode: 79, Total Reward: 90.0, Steps: 646
Episode: 80, Total Reward: 90.0, Steps: 903
Episode: 81, Total Reward: 235.0, Steps: 1002
Episode: 82, Total Reward: 295.0, Steps: 1695
Episode: 83, Total Reward: 90.0, Steps: 625
Episode: 84, Total Reward: 220.0, Steps: 1360
Episode: 85, Total Reward: 235.0, Steps: 1249
Episode: 86, Total Reward: 310.0, Steps: 1844
Episode: 87, Total Reward: 140.0, Steps: 887
Episode: 88, Total Reward: 140.0, Steps: 776
Episode: 89, Total Reward: 220.0, Steps: 1033
Episode: 90, Total Reward: 205.0, Steps: 1397
Episode: 91, Total Reward: 175.0, Steps: 1964
Episode: 92, Total Reward: 70.0, Steps: 475
Episode: 93, Total Reward: 160.0, Steps: 1108
Episode: 94, Total Reward: 205.0, Steps: 1375
Episode: 95, Total Reward: 110.0, Steps: 718
Episode: 96, Total Reward: 150.0, Steps: 834
Episode: 97, Total Reward: 130.0, Steps: 604
Episode: 98, Total Reward: 370.0, Steps: 2432
Episode: 99, Total Reward: 310.0, Steps: 1328
Episode: 100, Total Reward: 220.0, Steps: 1044
Episode: 101, Total Reward: 50.0, Steps: 269
Episode: 102, Total Reward: 220.0, Steps: 1087
Episode: 103, Total Reward: 90.0, Steps: 738
Episode: 104, Total Reward: 310.0, Steps: 1467
Episode: 105, Total Reward: 140.0, Steps: 992
Episode: 106, Total Reward: 140.0, Steps: 747
Episode: 107, Total Reward: 235.0, Steps: 1940
Episode: 108, Total Reward: 140.0, Steps: 807
Episode: 109, Total Reward: 220.0, Steps: 1136
Episode: 110, Total Reward: 190.0, Steps: 1125
Episode: 111, Total Reward: 110.0, Steps: 1084
Episode: 112, Total Reward: 90.0, Steps: 518
Episode: 113, Total Reward: 70.0, Steps: 396
Episode: 114, Total Reward: 235.0, Steps: 1370
Episode: 115, Total Reward: 140.0, Steps: 769
Episode: 116, Total Reward: 60.0, Steps: 367
Episode: 117, Total Reward: 150.0, Steps: 1119
Episode: 118, Total Reward: 130.0, Steps: 797
Episode: 119, Total Reward: 220.0, Steps: 1433
