date-time,episode,total_steps,reward,pid,steps,avg_loss,value_net,target_net,epsilon
2022/12/26-15:02:01,5001,458,3.0,29499,62,0.072916,-1858.395751953125,-1854.53564453125,0.45
2022/12/26-15:02:02,5002,490,3.0,29495,61,0.020121,-1858.5283203125,-1854.53564453125,0.45
2022/12/26-15:02:02,5003,504,4.0,29500,65,0.027106,-1858.925048828125,-1854.53564453125,0.45
2022/12/26-15:02:03,5004,519,4.0,29498,76,0.023331,-1859.264404296875,-1854.53564453125,0.45
2022/12/26-15:02:03,5005,548,4.0,29496,69,0.031582,-1859.4298095703125,-1854.53564453125,0.45
2022/12/26-15:02:04,5006,573,3.0,29502,72,0.030288,-1860.0106201171875,-1854.53564453125,0.45
2022/12/26-15:02:07,5007,704,6.0,29497,91,0.021364,-1861.19677734375,-1854.53564453125,0.45
2022/12/26-15:02:09,5008,805,7.0,29501,96,0.030802,-1857.456787109375,-1854.53564453125,0.45
2022/12/26-15:02:12,5009,924,2.0,29499,54,0.061914,-1856.5966796875,-1854.53564453125,0.44958333333333333
2022/12/26-15:02:14,5010,1019,4.0,29500,69,0.023348,-1858.046142578125,-1854.53564453125,0.4494166666666667
2022/12/26-15:02:16,5011,1113,2.0,29497,49,0.038975,-1860.9263916015625,-1854.53564453125,0.4495
2022/12/26-15:02:17,5012,1159,8.0,29502,75,0.043533,-1862.0098876953125,-1854.53564453125,0.4494166666666667
2022/12/26-15:02:17,5013,1167,6.0,29496,91,0.039042,-1862.9251708984375,-1854.53564453125,0.44933333333333336
2022/12/26-15:02:22,5014,1344,6.0,29498,107,0.043600,-1868.738525390625,-1854.53564453125,0.4494166666666667
2022/12/26-15:02:23,5015,1382,3.0,29501,64,0.024427,-1868.8541259765625,-1854.53564453125,0.44933333333333336
2022/12/26-15:02:24,5016,1450,0.0,29502,37,0.044831,-1869.142822265625,-1854.53564453125,0.44883333333333336
2022/12/26-15:02:25,5017,1465,9.0,29495,120,0.032986,-1868.5855712890625,-1854.53564453125,0.4494166666666667
2022/12/26-15:02:29,5018,1632,3.0,29497,62,0.030255,-1868.335693359375,-1854.53564453125,0.449
2022/12/26-15:02:29,5019,1647,3.0,29496,63,0.036685,-1868.2049560546875,-1854.53564453125,0.4486666666666667
2022/12/26-15:02:31,5020,1733,1.0,29498,41,0.044365,-1866.8817138671875,-1854.53564453125,0.44883333333333336
2022/12/26-15:02:34,5021,1823,12.0,29499,112,0.061017,-1864.9759521484375,-1854.53564453125,0.44916666666666666
2022/12/26-15:02:36,5022,1900,7.0,29500,108,0.031740,-1864.8770751953125,-1854.53564453125,0.44883333333333336
2022/12/26-15:02:38,5023,1989,3.0,29495,58,0.027752,-1867.5645751953125,-1854.53564453125,0.44883333333333336
2022/12/26-15:02:39,5024,2044,5.0,29501,84,0.022150,-1869.328369140625,-1854.53564453125,0.4486666666666667
2022/12/26-15:02:40,5025,2082,6.0,29502,92,0.038908,-1870.8603515625,-1854.53564453125,0.44825000000000004
2022/12/26-15:02:42,5026,2162,3.0,29496,65,0.032380,-1872.099365234375,-1854.53564453125,0.44800000000000006
2022/12/26-15:02:44,5027,2249,3.0,29498,62,0.039573,-1872.0166015625,-1854.53564453125,0.44825000000000004
2022/12/26-15:02:50,5028,2452,4.0,29500,71,0.028358,-1872.9678955078125,-1854.53564453125,0.44825000000000004
2022/12/26-15:02:51,5029,2497,6.0,29499,96,0.053914,-1872.6968994140625,-1854.53564453125,0.44875
2022/12/26-15:02:52,5030,2539,7.0,29497,106,0.027171,-1873.69140625,-1854.53564453125,0.4485
