date-time,episode,total_steps,reward,pid,steps,avg_loss,value_net,target_net,epsilon
2022/12/26-22:00:01,10001,761,6.0,4050,97,0.071505,-2982.971435546875,-2987.187744140625,0.1
2022/12/26-22:00:02,10002,842,8.0,4082,108,0.115338,-2981.869384765625,-2987.187744140625,0.1
2022/12/26-22:00:02,10003,842,14.0,4079,106,0.105365,-2980.2880859375,-2987.187744140625,0.2
2022/12/26-22:00:02,10004,907,8.0,4098,114,0.056447,-2978.692626953125,-2987.187744140625,0.1
2022/12/26-22:00:03,10005,1011,10.0,4089,128,0.075300,-2976.12744140625,-2987.187744140625,0.1
2022/12/26-22:00:03,10006,1011,17.0,4057,131,0.073178,-2976.12744140625,-2987.187744140625,0.15
2022/12/26-22:00:03,10007,1074,11.0,4060,133,0.047428,-2976.114990234375,-2987.187744140625,0.1
2022/12/26-22:00:05,10008,1327,17.0,4047,172,0.107099,-2984.014892578125,-2987.187744140625,0.1
2022/12/26-22:00:05,10009,1431,6.0,4050,87,0.067318,-2989.43408203125,-2987.187744140625,0.1
2022/12/26-22:00:07,10010,1732,9.0,4079,113,0.077880,-2993.817626953125,-2987.187744140625,0.2
2022/12/26-22:00:08,10011,1851,8.0,4089,105,0.056056,-2994.99951171875,-2987.187744140625,0.1
2022/12/26-22:00:08,10012,1880,8.0,4057,107,0.086232,-2994.73828125,-2987.187744140625,0.15
2022/12/26-22:00:08,10013,1999,11.0,4082,144,0.077238,-2994.570068359375,-2987.187744140625,0.1
2022/12/26-22:00:09,10014,2098,15.0,4098,150,0.071393,-2993.92138671875,-2987.187744140625,0.1
2022/12/26-22:00:11,10015,2388,18.0,4060,166,0.101979,-2994.41455078125,-2987.187744140625,0.1
2022/12/26-22:00:11,10016,2465,13.0,4047,144,0.074351,-2994.021484375,-2987.187744140625,0.1
2022/12/26-22:00:13,10017,2718,8.0,4057,106,0.070670,-2992.52001953125,-2987.187744140625,0.15
2022/12/26-22:00:13,10018,2771,9.0,4089,112,0.048229,-2992.504150390625,-2987.187744140625,0.1
2022/12/26-22:00:15,10019,3006,14.0,4079,160,0.064973,-2989.939453125,-2987.187744140625,0.2
2022/12/26-22:00:15,10020,3066,24.0,4050,209,0.081249,-2990.369873046875,-2987.187744140625,0.1
2022/12/26-22:00:17,10021,3366,14.0,4082,162,0.066548,-2991.98095703125,-2987.187744140625,0.1
2022/12/26-22:00:17,10022,3475,22.0,4060,146,0.098423,-2993.5458984375,-2987.187744140625,0.1
2022/12/26-22:00:18,10023,3621,12.0,4057,118,0.061895,-2996.655517578125,-2987.187744140625,0.15
2022/12/26-22:00:19,10024,3711,14.0,4047,159,0.059992,-2994.6767578125,-2987.187744140625,0.1
2022/12/26-22:00:19,10025,3759,25.0,4098,207,0.087591,-2994.6513671875,-2987.187744140625,0.1
2022/12/26-22:00:19,10026,3865,20.0,4089,132,0.055686,-2993.354248046875,-2987.187744140625,0.1
2022/12/26-22:00:20,10027,4002,12.0,4050,112,0.086870,-2992.30078125,-2987.187744140625,0.1
2022/12/26-22:00:21,10028,4087,10.0,4079,140,0.065940,-2989.8369140625,-2987.187744140625,0.2
2022/12/26-22:00:23,10029,4506,9.0,4060,122,0.084526,-2996.438720703125,-2987.187744140625,0.1
2022/12/26-22:00:24,10030,4586,14.0,4082,156,0.063587,-2998.333251953125,-2987.187744140625,0.1
2022/12/26-22:00:24,10031,4602,10.0,4057,120,0.058074,-2997.9560546875,-2987.187744140625,0.15
2022/12/26-22:00:24,10032,4628,9.0,4047,112,0.063553,-2998.524169921875,-2987.187744140625,0.1
2022/12/26-22:00:25,10033,4752,14.0,4098,127,0.081348,-2998.820556640625,-2987.187744140625,0.1
2022/12/26-22:00:28,10034,5057,9.0,4079,127,0.061741,-2994.740478515625,-2987.187744140625,0.2
2022/12/26-22:00:30,10035,5214,16.0,4089,169,0.047551,-2994.7001953125,-2987.187744140625,0.1
2022/12/26-22:00:31,10036,5414,8.0,4057,104,0.056776,-2994.957763671875,-2987.187744140625,0.15
2022/12/26-22:00:31,10037,5512,8.0,4082,108,0.057960,-2993.9267578125,-2987.187744140625,0.1
2022/12/26-22:00:32,10038,5724,23.0,4050,217,0.084024,-2993.27587890625,-2987.187744140625,0.1
2022/12/26-22:00:33,10039,5751,15.0,4047,140,0.067025,-2993.6572265625,-2987.187744140625,0.1
2022/12/26-22:00:33,10040,5850,14.0,4060,171,0.081489,-2993.647216796875,-2987.187744140625,0.1
2022/12/26-22:00:34,10041,5925,12.0,4098,141,0.069694,-2993.0771484375,-2987.187744140625,0.1
2022/12/26-22:00:35,10042,6225,12.0,4079,149,0.054127,-2991.8173828125,-2987.187744140625,0.2
2022/12/26-22:00:36,10043,6271,15.0,4089,132,0.052792,-2992.29443359375,-2987.187744140625,0.1
2022/12/26-22:00:38,10044,6606,18.0,4082,138,0.056231,-2990.736083984375,-2987.187744140625,0.1
2022/12/26-22:00:39,10045,6760,25.0,4057,172,0.082274,-2992.5263671875,-2987.187744140625,0.15
2022/12/26-22:00:39,10046,6806,10.0,4047,130,0.062029,-2993.0185546875,-2987.187744140625,0.1
2022/12/26-22:00:40,10047,6911,13.0,4050,150,0.074577,-2993.786865234375,-2987.187744140625,0.1
2022/12/26-22:00:40,10048,6923,10.0,4060,130,0.077549,-2993.748779296875,-2987.187744140625,0.1
2022/12/26-22:00:40,10049,6996,6.0,4079,97,0.052341,-2993.28173828125,-2987.187744140625,0.2
2022/12/26-22:00:41,10050,7138,13.0,4098,149,0.064582,-2991.6484375,-2987.187744140625,0.1
2022/12/26-22:00:43,10051,7501,9.0,4082,117,0.055401,-2989.154296875,-2987.187744140625,0.1
2022/12/26-22:00:43,10052,7571,21.0,4089,160,0.051149,-2988.328857421875,-2987.187744140625,0.1
2022/12/26-22:00:44,10053,7607,8.0,4057,106,0.075223,-2988.13037109375,-2987.187744140625,0.15
2022/12/26-22:00:45,10054,7885,11.0,4047,132,0.058203,-2987.2705078125,-2987.187744140625,0.1
2022/12/26-22:00:46,10055,8084,15.0,4050,148,0.074233,-2989.198974609375,-2987.187744140625,0.1
2022/12/26-22:00:46,10056,8120,12.0,4060,145,0.071280,-2989.412841796875,-2987.187744140625,0.1
2022/12/26-22:00:47,10057,8156,11.0,4079,146,0.056566,-2989.717529296875,-2987.187744140625,0.2
2022/12/26-22:00:47,10058,8199,10.0,4098,129,0.061708,-2991.803466796875,-2987.187744140625,0.1
2022/12/26-22:00:50,10059,8617,18.0,4057,131,0.072650,-2987.14208984375,-2987.187744140625,0.15
2022/12/26-22:00:51,10060,8856,18.0,4089,158,0.048566,-2991.847900390625,-2987.187744140625,0.1
2022/12/26-22:00:52,10061,8992,20.0,4082,191,0.055717,-2991.97119140625,-2987.187744140625,0.1
2022/12/26-22:00:52,10062,9046,19.0,4047,151,0.060830,-2993.467041015625,-2987.187744140625,0.1
2022/12/26-22:00:52,10063,9058,16.0,4060,118,0.068503,-2992.701416015625,-2987.187744140625,0.1
2022/12/26-22:00:53,10064,9283,12.0,4050,145,0.070196,-2989.410400390625,-2987.187744140625,0.1
2022/12/26-22:00:55,10065,9575,15.0,4079,176,0.056631,-2987.26513671875,-2987.187744140625,0.2
2022/12/26-22:00:55,10066,9602,18.0,4098,174,0.067717,-2987.379150390625,-2987.187744140625,0.1
2022/12/26-22:00:57,10067,9836,17.0,4057,158,0.081199,-2986.618896484375,-2987.187744140625,0.15
2022/12/26-22:00:58,10068,10056,12.0,4089,148,0.047268,-2985.97705078125,-2987.187744140625,0.1
2022/12/26-22:00:58,10069,10121,12.0,4082,138,0.052531,-2986.775634765625,-2987.187744140625,0.1
2022/12/26-22:00:59,10070,10209,13.0,4047,144,0.057903,-2986.15869140625,-2987.187744140625,0.1
2022/12/26-22:01:00,10071,10359,11.0,4050,134,0.071868,-2985.201904296875,-2987.187744140625,0.1
2022/12/26-22:01:00,10072,10471,5.0,4057,79,0.080442,-2984.859375,-2987.187744140625,0.15
2022/12/26-22:01:01,10073,10540,20.0,4060,188,0.070693,-2985.043701171875,-2987.187744140625,0.1
2022/12/26-22:01:02,10074,10805,14.0,4079,155,0.055904,-2987.047607421875,-2987.187744140625,0.2
2022/12/26-22:01:02,10075,10862,20.0,4098,162,0.073466,-2986.327880859375,-2987.187744140625,0.1
2022/12/26-22:01:04,10076,11224,7.0,4050,104,0.068839,-2983.466064453125,-2987.187744140625,0.1
2022/12/26-22:01:05,10077,11356,8.0,4057,107,0.076470,-2982.887451171875,-2987.187744140625,0.15
2022/12/26-22:01:06,10078,11395,13.0,4082,160,0.051401,-2982.494384765625,-2987.187744140625,0.1
2022/12/26-22:01:06,10079,11417,12.0,4047,150,0.055177,-2982.427001953125,-2987.187744140625,0.1
