episode,reward,epsilon,action_frequency
5025, 8.0, 0.01, "{0: 10, 1: 5, 2: 58, 3: 30}"
5050, 12.0, 0.01, "{0: 44, 1: 5, 2: 35, 3: 27}"
5075, 18.0, 0.01, "{0: 35, 1: 6, 2: 30, 3: 40}"
5100, 12.0, 0.01, "{0: 34, 1: 5, 2: 35, 3: 37}"
5125, 7.0, 0.01, "{0: 34, 1: 5, 2: 34, 3: 25}"
5150, 14.0, 0.01, "{0: 46, 1: 5, 2: 27, 3: 25}"
5175, 13.0, 0.01, "{0: 33, 1: 5, 2: 28, 3: 26}"
5200, 8.0, 0.01, "{0: 54, 1: 7, 2: 29, 3: 20}"
5225, 9.0, 0.01, "{0: 33, 1: 5, 2: 41, 3: 36}"
5250, 12.0, 0.01, "{0: 47, 1: 5, 2: 27, 3: 32}"
5275, 13.0, 0.01, "{0: 41, 1: 5, 2: 30, 3: 44}"
5300, 11.0, 0.01, "{0: 48, 1: 5, 2: 23, 3: 26}"
5325, 8.0, 0.01, "{0: 31, 1: 5, 2: 20, 3: 19}"
5350, 16.0, 0.01, "{0: 42, 1: 5, 2: 39, 3: 29}"
5375, 13.0, 0.01, "{0: 25, 1: 5, 2: 35, 3: 27}"
5400, 12.0, 0.01, "{0: 31, 1: 5, 2: 42, 3: 33}"
5425, 13.0, 0.01, "{0: 14, 1: 6, 2: 41, 3: 31}"
5450, 12.0, 0.01, "{0: 25, 1: 5, 2: 26, 3: 24}"
5475, 9.0, 0.01, "{0: 53, 1: 6, 2: 28, 3: 24}"
5500, 9.0, 0.01, "{0: 42, 1: 6, 2: 31, 3: 35}"
5525, 14.0, 0.01, "{0: 37, 1: 5, 2: 29, 3: 30}"
5550, 12.0, 0.01, "{0: 20, 1: 6, 2: 46, 3: 43}"
5575, 9.0, 0.01, "{0: 28, 1: 5, 2: 37, 3: 41}"
5600, 10.0, 0.01, "{0: 40, 1: 5, 2: 40, 3: 46}"
5625, 11.0, 0.01, "{0: 47, 1: 6, 2: 41, 3: 42}"
5650, 7.0, 0.01, "{0: 23, 1: 5, 2: 18, 3: 20}"
5675, 9.0, 0.01, "{0: 33, 1: 5, 2: 44, 3: 37}"
5700, 8.0, 0.01, "{0: 27, 1: 5, 2: 38, 3: 34}"
5725, 18.0, 0.01, "{0: 22, 1: 7, 2: 56, 3: 64}"
5750, 14.0, 0.01, "{0: 29, 1: 6, 2: 58, 3: 40}"
5775, 9.0, 0.01, "{0: 57, 1: 5, 2: 27, 3: 29}"
5800, 12.0, 0.01, "{0: 70, 1: 5, 2: 28, 3: 45}"
5825, 10.0, 0.01, "{0: 49, 1: 6, 2: 34, 3: 37}"
5850, 14.0, 0.01, "{0: 32, 1: 7, 2: 36, 3: 30}"
5875, 15.0, 0.01, "{0: 58, 1: 7, 2: 32, 3: 38}"
5900, 14.0, 0.01, "{0: 54, 1: 7, 2: 40, 3: 39}"
5925, 12.0, 0.01, "{0: 49, 1: 6, 2: 24, 3: 36}"
5950, 15.0, 0.01, "{0: 35, 1: 6, 2: 41, 3: 35}"
5975, 16.0, 0.01, "{0: 49, 1: 6, 2: 35, 3: 33}"
6000, 9.0, 0.01, "{0: 40, 1: 5, 2: 35, 3: 38}"
6025, 6.0, 0.01, "{0: 31, 1: 7, 2: 28, 3: 30}"
6050, 12.0, 0.01, "{0: 42, 1: 7, 2: 31, 3: 31}"
6075, 9.0, 0.01, "{0: 40, 1: 7, 2: 37, 3: 35}"
6100, 15.0, 0.01, "{0: 45, 1: 6, 2: 35, 3: 31}"
6125, 14.0, 0.01, "{0: 41, 1: 7, 2: 52, 3: 42}"
6150, 14.0, 0.01, "{0: 31, 1: 7, 2: 33, 3: 29}"
6175, 11.0, 0.01, "{0: 45, 1: 6, 2: 39, 3: 36}"
6200, 19.0, 0.01, "{0: 35, 1: 9, 2: 52, 3: 52}"
6225, 17.0, 0.01, "{0: 28, 1: 29, 2: 45, 3: 49}"
6250, 9.0, 0.01, "{0: 45, 1: 8, 2: 35, 3: 27}"
6275, 12.0, 0.01, "{0: 29, 1: 5, 2: 25, 3: 24}"
6300, 14.0, 0.01, "{0: 14, 1: 17, 2: 52, 3: 57}"
6325, 8.0, 0.01, "{0: 36, 1: 14, 2: 32, 3: 29}"
6350, 12.0, 0.01, "{0: 34, 1: 6, 2: 47, 3: 33}"
6375, 10.0, 0.01, "{0: 40, 1: 7, 2: 43, 3: 38}"
6400, 11.0, 0.01, "{0: 33, 1: 18, 2: 51, 3: 40}"
6425, 10.0, 0.01, "{0: 61, 1: 10, 2: 34, 3: 23}"
6450, 3.0, 0.01, "{0: 26, 1: 6, 2: 15, 3: 12}"
6475, 10.0, 0.01, "{0: 35, 1: 5, 2: 30, 3: 22}"
6500, 8.0, 0.01, "{0: 38, 1: 9, 2: 30, 3: 26}"
6525, 11.0, 0.01, "{0: 49, 1: 7, 2: 47, 3: 34}"
6550, 16.0, 0.01, "{0: 63, 1: 6, 2: 44, 3: 37}"
6575, 14.0, 0.01, "{0: 65, 1: 6, 2: 40, 3: 25}"
6600, 15.0, 0.01, "{0: 31, 1: 10, 2: 60, 3: 40}"
6625, 17.0, 0.01, "{0: 81, 1: 8, 2: 36, 3: 32}"
6650, 16.0, 0.01, "{0: 90, 1: 7, 2: 32, 3: 23}"
6675, 11.0, 0.01, "{0: 31, 1: 6, 2: 37, 3: 34}"
6700, 10.0, 0.01, "{0: 53, 1: 7, 2: 42, 3: 26}"
6725, 10.0, 0.01, "{0: 51, 1: 10, 2: 40, 3: 28}"
6750, 11.0, 0.01, "{0: 24, 1: 13, 2: 50, 3: 43}"
6775, 12.0, 0.01, "{0: 76, 1: 8, 2: 34, 3: 30}"
6800, 13.0, 0.01, "{0: 79, 1: 10, 2: 35, 3: 30}"
6825, 12.0, 0.01, "{0: 25, 1: 13, 2: 52, 3: 31}"
6850, 7.0, 0.01, "{0: 38, 1: 6, 2: 23, 3: 28}"
6875, 13.0, 0.01, "{0: 90, 1: 7, 2: 29, 3: 28}"
6900, 13.0, 0.01, "{0: 63, 1: 6, 2: 42, 3: 37}"
6925, 11.0, 0.01, "{0: 39, 1: 35, 2: 38, 3: 28}"
6950, 12.0, 0.01, "{0: 31, 1: 14, 2: 56, 3: 37}"
6975, 16.0, 0.01, "{0: 94, 1: 7, 2: 47, 3: 30}"
7000, 15.0, 0.01, "{0: 70, 1: 10, 2: 40, 3: 26}"
7025, 11.0, 0.01, "{0: 48, 1: 18, 2: 38, 3: 33}"
7050, 13.0, 0.01, "{0: 40, 1: 9, 2: 38, 3: 38}"
7075, 11.0, 0.01, "{0: 46, 1: 10, 2: 40, 3: 28}"
7100, 11.0, 0.01, "{0: 72, 1: 8, 2: 43, 3: 26}"
7125, 18.0, 0.01, "{0: 80, 1: 5, 2: 48, 3: 36}"
