episode,reward,epsilon,action_frequency
10025, 19.0, 0.01, "{0: 58, 1: 9, 2: 41, 3: 36}"
10050, 11.0, 0.01, "{0: 33, 1: 7, 2: 35, 3: 22}"
10075, 15.0, 0.01, "{0: 63, 1: 15, 2: 54, 3: 41}"
10100, 16.0, 0.01, "{0: 46, 1: 10, 2: 40, 3: 28}"
10125, 16.0, 0.01, "{0: 55, 1: 7, 2: 31, 3: 31}"
10150, 15.0, 0.01, "{0: 23, 1: 14, 2: 41, 3: 35}"
10175, 12.0, 0.01, "{0: 44, 1: 14, 2: 49, 3: 35}"
10200, 12.0, 0.01, "{0: 39, 1: 12, 2: 32, 3: 28}"
10225, 13.0, 0.01, "{0: 35, 1: 9, 2: 22, 3: 22}"
10250, 21.0, 0.01, "{0: 43, 1: 9, 2: 53, 3: 50}"
10275, 20.0, 0.01, "{0: 65, 1: 14, 2: 36, 3: 36}"
10300, 18.0, 0.01, "{0: 28, 1: 27, 2: 47, 3: 39}"
10325, 24.0, 0.01, "{0: 106, 1: 10, 2: 45, 3: 36}"
10350, 10.0, 0.01, "{0: 29, 1: 11, 2: 49, 3: 30}"
10375, 15.0, 0.01, "{0: 55, 1: 23, 2: 61, 3: 38}"
10400, 20.0, 0.01, "{0: 80, 1: 18, 2: 47, 3: 44}"
10425, 23.0, 0.01, "{0: 81, 1: 19, 2: 44, 3: 48}"
10450, 14.0, 0.01, "{0: 68, 1: 11, 2: 32, 3: 32}"
10475, 16.0, 0.01, "{0: 101, 1: 12, 2: 35, 3: 44}"
10500, 12.0, 0.01, "{0: 85, 1: 11, 2: 23, 3: 29}"
10525, 14.0, 0.01, "{0: 70, 1: 11, 2: 38, 3: 34}"
10550, 11.0, 0.01, "{0: 84, 1: 9, 2: 24, 3: 23}"
10575, 25.0, 0.01, "{0: 100, 1: 24, 2: 52, 3: 66}"
10600, 17.0, 0.01, "{0: 69, 1: 11, 2: 37, 3: 53}"
10625, 17.0, 0.01, "{0: 90, 1: 8, 2: 30, 3: 39}"
10650, 12.0, 0.01, "{0: 71, 1: 7, 2: 31, 3: 33}"
10675, 19.0, 0.01, "{0: 56, 1: 9, 2: 39, 3: 37}"
10700, 21.0, 0.01, "{0: 91, 1: 15, 2: 36, 3: 39}"
10725, 21.0, 0.01, "{0: 70, 1: 10, 2: 37, 3: 40}"
10750, 15.0, 0.01, "{0: 105, 1: 6, 2: 28, 3: 33}"
10775, 16.0, 0.01, "{0: 59, 1: 20, 2: 38, 3: 41}"
10800, 21.0, 0.01, "{0: 68, 1: 18, 2: 46, 3: 44}"
10825, 14.0, 0.01, "{0: 48, 1: 7, 2: 22, 3: 26}"
10850, 10.0, 0.01, "{0: 53, 1: 11, 2: 29, 3: 34}"
10875, 17.0, 0.01, "{0: 63, 1: 19, 2: 35, 3: 45}"
10900, 19.0, 0.01, "{0: 71, 1: 12, 2: 44, 3: 46}"
10925, 15.0, 0.01, "{0: 54, 1: 14, 2: 36, 3: 35}"
10950, 19.0, 0.01, "{0: 76, 1: 12, 2: 30, 3: 31}"
10975, 11.0, 0.01, "{0: 67, 1: 9, 2: 24, 3: 34}"
11000, 15.0, 0.01, "{0: 27, 1: 62, 2: 28, 3: 32}"
11025, 14.0, 0.01, "{0: 46, 1: 24, 2: 30, 3: 36}"
11050, 24.0, 0.01, "{0: 96, 1: 8, 2: 46, 3: 41}"
11075, 17.0, 0.01, "{0: 38, 1: 15, 2: 31, 3: 30}"
11100, 18.0, 0.01, "{0: 53, 1: 18, 2: 31, 3: 36}"
11125, 22.0, 0.01, "{0: 49, 1: 15, 2: 49, 3: 48}"
11150, 21.0, 0.01, "{0: 62, 1: 25, 2: 43, 3: 58}"
11175, 25.0, 0.01, "{0: 71, 1: 15, 2: 33, 3: 44}"
11200, 13.0, 0.01, "{0: 46, 1: 17, 2: 33, 3: 35}"
11225, 19.0, 0.01, "{0: 35, 1: 24, 2: 38, 3: 44}"
11250, 14.0, 0.01, "{0: 51, 1: 11, 2: 50, 3: 43}"
11275, 29.0, 0.01, "{0: 62, 1: 16, 2: 58, 3: 60}"
11300, 20.0, 0.01, "{0: 68, 1: 22, 2: 42, 3: 45}"
11325, 14.0, 0.01, "{0: 83, 1: 8, 2: 38, 3: 34}"
11350, 12.0, 0.01, "{0: 42, 1: 43, 2: 24, 3: 36}"
11375, 12.0, 0.01, "{0: 48, 1: 32, 2: 20, 3: 35}"
11400, 13.0, 0.01, "{0: 71, 1: 8, 2: 39, 3: 47}"
11425, 15.0, 0.01, "{0: 54, 1: 40, 2: 31, 3: 49}"
11450, 18.0, 0.01, "{0: 70, 1: 7, 2: 44, 3: 43}"
